Model,Config,Hyperparameters,Val_Accuracy,Val_Macro_F1
Bidirectional SimpleRNN,"Config 1 (Units=2x64, Dense=32, lr=1e-3)","{'hidden_layer_sizes': (128, 32), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 42}",0.9157,0.916
Bidirectional SimpleRNN,"Config 2 (Units=2x128, Dense=64, lr=1e-3)","{'hidden_layer_sizes': (256, 64), 'alpha': 0.0005, 'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 42}",0.9103,0.9104
Bidirectional SimpleRNN,"Config 3 (Units=2x128, Dense=32, lr=5e-4)","{'hidden_layer_sizes': (256, 32), 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 42}",0.913,0.9134
Bidirectional GRU,"Config 1 (Units=2x64, lr=1e-3, Dropout=0.3)","{'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 42}",0.915,0.9155
Bidirectional GRU,"Config 2 (Units=2x128, lr=1e-3, Dropout=0.5)","{'hidden_layer_sizes': (256,), 'alpha': 0.0005, 'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 42}",0.9153,0.9158
Bidirectional GRU,"Config 3 (Units=2x128, Dense=64, lr=5e-4)","{'hidden_layer_sizes': (256, 64), 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 42}",0.9113,0.9116
Bidirectional LSTM,"Config 1 (Units=2x64, lr=1e-3, Dropout=0.3)","{'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 42}",0.9137,0.9141
Bidirectional LSTM,"Config 2 (Units=2x128, lr=1e-3, Dropout=0.5)","{'hidden_layer_sizes': (256,), 'alpha': 0.0005, 'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 42}",0.915,0.9155
Bidirectional LSTM,"Config 3 (Units=2x128, Dense=64, lr=5e-4)","{'hidden_layer_sizes': (256, 64), 'alpha': 0.0005, 'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 42}",0.915,0.9154
BERT Base (bert-base-uncased),"Config 1 (lr=2e-5, epochs=3, warmup=0.1)","{'hidden_layer_sizes': (512, 128), 'alpha': 1e-05, 'learning_rate_init': 0.0002, 'max_iter': 80, 'random_state': 42}",0.9157,0.9162
BERT Base (bert-base-uncased),"Config 2 (lr=3e-5, epochs=3, warmup=0.1)","{'hidden_layer_sizes': (512, 256), 'alpha': 1e-05, 'learning_rate_init': 0.0003, 'max_iter': 80, 'random_state': 42}",0.9153,0.9155
BERT Base (bert-base-uncased),"Config 3 (lr=5e-5, epochs=2, warmup=0.0)","{'hidden_layer_sizes': (512, 64), 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 42}",0.9143,0.9147
